node,degree_cent,betweenness_cent,closeness_cent,eigenvector_cent,label,type,influence_score
YOUR_STUDY,0.9565217391304348,0.036916022785588,0.9583333333333334,0.385645454282384,"YOUR STUDY
(2026)",gap,0.5668270860979503
mohamed22,0.9130434782608695,0.06222372635416114,0.92,0.2928701904642824,"Mohamed et al.
2022",empirical,0.5351541994773656
mackatiani23,0.8260869565217391,0.03159835333748377,0.8518518518518519,0.3052445494161638,"Mackatiani
et al. 2023",empirical,0.48872487321137
mwangombe21,0.8260869565217391,0.05461869048825569,0.8518518518518519,0.24782907711720004,"Mwang'ombe
2021",empirical,0.48414787989680885
keter25,0.7391304347826086,0.04799210451384364,0.7931034482758621,0.2643370256031878,"Keter &
Wabuke 2025",empirical,0.4476248565647457
ngeno23,0.7391304347826086,0.02689828470460881,0.7931034482758621,0.23164646649107956,"Ngeno
2023",empirical,0.4347585987995536
kailo25,0.6956521739130435,0.06024012219664393,0.7666666666666667,0.1966775625235617,"Kailo et al.
2025",empirical,0.4194365346709519
njiru24,0.6956521739130435,0.013074990446531948,0.7666666666666667,0.25270952441865735,"Njiru &
Odundo 2024",empirical,0.4164933875249375
wasanga22,0.6956521739130435,0.01953845451869167,0.7666666666666667,0.22545393951425144,"Wasanga &
Wambua 2022",empirical,0.41298130976570413
cheruiyot24,0.6956521739130435,0.05256293625858843,0.7666666666666667,0.17253715201418776,"Cheruiyot
2024",empirical,0.4123052967876605
tsc_plan,0.6956521739130435,0.029860620275640036,0.7666666666666667,0.18962354749677804,"TSC Plan
2023-27",policy,0.408911881089294
pwper23,0.6521739130434783,0.02481928479952195,0.7419354838709677,0.2168776668782756,"PWPER
2023",policy,0.39486058950274877
muchira23,0.6086956521739131,0.017273569645111144,0.71875,0.17148025542325426,"Muchira et al.
2023",empirical,0.36583681763035814
maluha24,0.5652173913043478,0.01463890376933855,0.696969696969697,0.18732029061668276,"Maluha
et al. 2024",empirical,0.3508148860393818
garissa25,0.5217391304347826,0.005434442588592787,0.6764705882352942,0.16064728491963198,"Garissa
Study 2025",empirical,0.3255756465379978
ijriss25,0.5217391304347826,0.017743166656210133,0.6764705882352942,0.1420999210291045,"IJRISS
2025",empirical,0.3255587909801776
knut22,0.5217391304347826,0.012097344903669016,0.6764705882352942,0.13521428076177114,"KNUT
Report 2022",report,0.32248791640094854
momanyi19,0.4782608695652174,0.02572777464081812,0.6571428571428571,0.12930717943035924,"Momanyi &
Rop 2019",empirical,0.30848660057645394
mogere25,0.43478260869565216,0.00646071100616555,0.6388888888888888,0.15199980856816014,"Mogere &
Mbatanu 2025",empirical,0.2905507354019551
fullan07,0.43478260869565216,0.013802139889096409,0.6388888888888888,0.13672894730265775,"Fullan 2007
(Change)",theory,0.28969899181373393
darling19,0.34782608695652173,0.005574519902583143,0.6052631578947368,0.07733286972948726,"Darling-Hammond
2019",theory,0.2425393875825763
kicd_designs,0.30434782608695654,0.005830039525691699,0.5897435897435898,0.11941921224454156,"KICD Designs
2024",policy,0.23488592008142076
shulman86,0.30434782608695654,0.005895915678524374,0.5897435897435898,0.09935136386202459,"Shulman 1986
(PCK)",theory,0.23089211325076714
bandura97,0.2608695652173913,0.002979066022544283,0.575,0.06191087406857043,"Bandura 1997
(SE)",theory,0.20653676418569475
